id,per.capita,white.per.capita,black.per.capita,native.american.per.capita,asian.per.capita,pacific.islander.per.capita,other.per.capita,two.races.per.capita,hisp.per.capita,non.hisp.per.capita
18097360402,14125,16703,13485,-,-,-,-,N,-,16703
18097360404,15266,22082,12135,-,-,-,6743,7596,10221,25185
18097360405,18087,22693,15675,-,14689,-,4229,16825,3288,23927
18097360501,19647,21731,16765,-,-,-,N,2976,8658,24250
18097360502,24872,27104,21091,N,16006,-,N,N,10162,27688
18097360601,25680,26817,22405,-,24612,-,10873,N,4755,27806
18097360602,21938,24623,19087,-,14888,-,10671,14307,10685,25130
18097360700,26913,29064,19638,-,-,-,6697,N,6697,29064
18097360800,19112,22244,10566,N,12531,-,-,-,8753,23002
18097360900,23498,24642,16686,-,-,-,16116,N,12955,24952
18097361000,32526,31897,N,-,-,-,57379,-,9055,32584
18097361100,25440,27631,10319,N,-,-,N,N,15027,27449
18097361200,19406,19876,7314,-,41288,-,N,8708,15549,19833
18097361300,21732,21570,N,-,-,-,-,39721,16206,21688
18097361400,20083,20318,20863,12174,-,-,14850,N,16357,20581
18097361600,30380,30964,23724,-,59205,-,N,N,11701,31529
18097370201,19055,19524,12112,-,19258,-,N,-,-,19524
18097370202,16208,16774,12382,36468,N,-,N,10554,9876,16809
18097370301,21448,23284,14580,-,N,N,N,6159,6616,23743
18097370302,22200,22469,24225,-,N,-,N,N,16674,22731
18097380100,28476,29490,19763,N,19506,-,7024,10632,20367,29566
18097380200,23056,24922,9425,-,13750,-,3590,N,7694,26796
18097380300,13450,13717,7853,12203,6303,-,27241,4287,21208,13822
18097380402,17512,20218,5189,-,-,-,10142,-,9401,20396
18097380403,22661,21969,-,N,-,-,N,-,N,21969
18097380404,23744,23576,26628,N,-,-,N,N,9719,23966
18097380501,19683,20837,N,-,-,-,N,6523,11055,22300
18097380502,16885,19291,14272,N,13718,N,10409,564,9792,19243
18097380600,16694,18219,10319,N,12669,-,7918,N,5103,20402
18097380700,21625,23680,5680,-,N,-,9696,N,10724,23672
18097380800,23424,23960,N,N,-,-,-,N,-,23960
18097380901,27621,27898,30379,-,30185,-,-,9086,11631,28726
18097380902,30053,30633,21251,-,29869,-,N,-,9892,31013
18097381001,18294,22879,13547,-,5146,-,12106,4240,11836,23920
18097381002,27650,28560,3451,-,N,-,N,N,N,28601
18097381101,32438,33080,20790,N,N,-,16503,N,10305,33504
18097381102,23747,23813,-,N,12087,-,N,N,9944,24249
18097381201,30513,30880,11410,-,42327,-,N,23532,12500,31585
18097381203,15959,21732,8749,N,5969,-,9331,5626,9550,23288
18097381204,17058,16808,N,N,19461,-,N,N,8739,16941
18097381205,23519,22837,33074,N,14996,-,-,45614,9552,23000
18097390101,25188,26763,14940,-,26420,-,11582,N,12183,27223
18097390102,20796,23221,13729,-,18688,-,5298,N,5359,23557
18097390200,28719,29254,31198,-,N,-,N,-,10039,29452
18097390300,32408,33086,29324,N,40665,-,-,-,13551,33566
18097390402,25909,27357,8339,N,11547,-,11983,9036,16398,27842
18097390403,34038,35129,N,N,15423,-,-,32445,13361,35330
18097390404,34231,33765,35842,-,79592,-,24726,N,17975,35515
18097390405,29705,30817,28438,-,26058,-,N,8455,40187,30437
18097390500,17907,78960,12940,-,-,-,-,-,4887,78960
18097390600,26058,36553,18122,-,18844,-,4667,13827,5163,43398
18097390700,12046,13779,5822,-,-,-,10735,-,8814,16298
18097390800,24974,24354,34139,-,-,-,-,N,16146,24615
18097390900,37766,70911,15413,N,N,-,N,11124,87459,70295
18097391000,29668,36859,10662,N,21951,-,21969,25455,36978,36705
18099020101,24818,25114,16194,-,-,N,20821,N,18197,25812
18099020102,19062,19531,N,-,-,-,-,-,N,19668
18099020201,22910,23057,-,-,N,-,N,N,11031,23375
18099020202,25653,25589,-,-,N,-,N,-,31701,25567
18099020301,26910,27017,N,22424,N,-,-,N,N,27017
18099020302,28361,29550,12131,-,N,-,N,4305,6499,29614
18099020400,21145,22918,2100,-,N,-,15010,N,11402,23345
18099020500,13460,16113,-,-,N,-,6542,10070,7833,16424
18099020600,21466,22837,N,-,10683,N,12711,N,11170,23118
18099020701,28668,28795,-,-,-,-,N,-,28709,28666
18099020702,21518,21818,-,N,N,-,17089,N,14153,22068
18099020800,18520,18731,-,N,86,-,N,13174,11697,18758
18101950100,20528,20217,-,-,N,N,-,N,N,20132
18101950200,21556,22029,-,-,N,-,-,-,-,22029
18101950300,22847,22846,N,-,-,-,N,23719,N,22846
18103952000,19843,20050,-,-,-,-,N,6660,N,20050
18103952100,19776,21200,-,-,N,-,N,3109,N,21200
18103952200,19707,20727,7657,12616,N,-,N,-,34576,20239
18103952300,16428,17114,12015,21365,-,-,-,11906,N,17114
18103952400,17110,17861,N,N,-,-,-,1839,2252,18596
18103952500,16661,16540,N,N,N,-,-,-,-,16540
18103952600,23546,23675,-,N,-,-,N,19005,12277,23740
18103952700,19732,20955,8306,N,N,-,N,1262,N,20955
18103952800,15919,16001,15570,N,N,-,16064,18202,15445,16011
18103952900,14789,15643,15093,-,-,-,N,3972,4459,15836
18105000100,11383,11604,4243,N,9268,-,N,13775,13178,11540
18105000201,4467,3173,6493,N,8832,-,2081,3723,2868,3181
18105000202,3039,3247,2970,N,1329,-,4740,1907,7491,3058
18105000301,18353,19403,N,N,5154,-,N,N,7259,19578
18105000302,26070,26662,-,-,20835,-,N,N,30103,25964
18105000401,18466,18049,33103,N,12822,-,-,16477,20621,18019
18105000402,19345,21119,13508,N,16246,N,N,12011,16389,21232
18105000501,20153,19755,31112,-,23023,-,17774,10523,16253,19964
18105000502,19734,20235,15356,-,28275,-,9282,-,9783,21575
18105000601,17694,17909,19840,-,-,-,-,N,N,18274
18105000602,12065,12243,11823,-,-,-,-,4631,-,12243
18105000700,28369,29654,18286,-,7253,-,N,N,12909,30070
18105000800,28708,31972,8671,-,17454,-,-,25002,15912,32150
18105000901,31089,33274,N,-,10660,-,-,16585,24444,34267
18105000903,23835,26062,21631,-,13295,-,9850,73477,17634,25904
18105000904,25562,30258,25815,-,6600,-,17038,5832,8146,30763
18105001001,41776,45093,25689,84832,13173,-,15803,7457,23397,45119
18105001002,32760,34657,27987,N,19408,-,9760,36011,34569,34353
18105001101,18720,20413,9435,N,13945,-,-,10086,N,20469
18105001102,21683,22902,13950,N,4629,-,-,N,N,22869
